survived,pclass,sex,age,sibsp,parch,fare,embarked,who,deck,alone,family_size,has_family,is_minor,age_group,fare_per_person,fare_tier,cabin_known,is_female,emb_C,emb_Q,emb_S,log_fare,age_z,fare_z
1,1,male,28.0,0,0,35.5,S,man,A,True,1,0,0,Adult,35.5,Premium,1,0,0,0,1,3.597,-0.082,0.119
0,3,female,8.0,3,1,21.075,S,child,Unknown,False,5,1,1,Child,4.215,High,0,1,0,0,1,3.094,-1.583,-0.231
1,3,female,38.0,1,5,31.3875,S,woman,Unknown,False,7,1,0,Adult,4.483928571428572,Premium,0,1,0,0,1,3.478,0.669,0.02
0,3,male,25.0,0,0,7.225,C,man,Unknown,True,1,0,0,Adult,7.225,Low,0,0,1,0,0,2.107,-0.307,-0.567
0,1,male,19.0,3,2,263.0,S,man,C,False,6,1,0,Adult,43.833333333333336,Premium,1,0,0,0,1,5.576,-0.758,5.644
1,3,female,21.5,0,0,7.8792,Q,woman,Unknown,True,1,0,0,Adult,7.8792,Low,0,1,0,1,0,2.184,-0.57,-0.551
0,3,male,25.0,0,0,7.8958,S,man,Unknown,True,1,0,0,Adult,7.8958,Low,0,0,0,0,1,2.186,-0.307,-0.551
0,1,male,40.0,0,0,27.7208,C,man,Unknown,True,1,0,0,Adult,27.7208,High,0,0,1,0,0,3.358,0.819,-0.069
1,1,female,35.0,1,0,146.5208,C,woman,B,False,2,1,0,Adult,73.2604,Premium,1,1,1,0,0,4.994,0.444,2.816
1,3,female,21.5,0,0,7.75,Q,woman,Unknown,True,1,0,0,Adult,7.75,Low,0,1,0,1,0,2.169,-0.57,-0.554
0,2,male,66.0,0,0,10.5,S,man,Unknown,True,1,0,0,Senior,10.5,Mid,0,0,0,0,1,2.442,2.771,-0.488
0,1,male,28.0,1,0,82.1708,C,man,Unknown,False,2,1,0,Adult,41.0854,Premium,0,0,1,0,0,4.421,-0.082,1.253
0,1,male,42.0,1,0,52.0,S,man,Unknown,False,2,1,0,Adult,26.0,Premium,0,0,0,0,1,3.97,0.969,0.52
1,3,male,25.0,0,0,7.2292,C,man,Unknown,True,1,0,0,Adult,7.2292,Low,0,0,1,0,0,2.108,-0.307,-0.567
0,3,male,21.0,0,0,8.05,S,man,Unknown,True,1,0,0,Adult,8.05,Mid,0,0,0,0,1,2.203,-0.607,-0.547
0,3,female,18.0,2,0,18.0,S,woman,Unknown,False,3,1,0,Adult,6.0,High,0,1,0,0,1,2.944,-0.833,-0.306
1,3,female,14.0,1,0,11.2417,C,child,Unknown,False,2,1,1,Teen,5.62085,Mid,0,1,1,0,0,2.505,-1.133,-0.47
0,3,female,40.0,1,0,9.475,S,woman,Unknown,False,2,1,0,Adult,4.7375,Mid,0,1,0,0,1,2.349,0.819,-0.513
0,2,female,27.0,1,0,21.0,S,woman,Unknown,False,2,1,0,Adult,10.5,High,0,1,0,0,1,3.091,-0.157,-0.233
0,3,male,25.0,0,0,7.8958,C,man,Unknown,True,1,0,0,Adult,7.8958,Low,0,0,1,0,0,2.186,-0.307,-0.551
1,2,female,3.0,1,2,41.5792,C,child,Unknown,False,4,1,1,Child,10.3948,Premium,0,1,1,0,0,3.751,-1.959,0.267
1,3,female,19.0,0,0,7.8792,Q,woman,Unknown,True,1,0,0,Adult,7.8792,Low,0,1,0,1,0,2.184,-0.758,-0.551
0,3,male,25.0,0,0,8.05,S,man,Unknown,True,1,0,0,Adult,8.05,Mid,0,0,0,0,1,2.203,-0.307,-0.547
0,3,male,25.0,1,0,15.5,Q,man,Unknown,False,2,1,0,Adult,7.75,High,0,0,0,1,0,2.803,-0.307,-0.366
1,3,female,21.5,0,0,7.75,Q,woman,Unknown,True,1,0,0,Adult,7.75,Low,0,1,0,1,0,2.169,-0.57,-0.554
0,3,male,25.0,2,0,21.6792,C,man,Unknown,False,3,1,0,Adult,7.226400000000001,High,0,0,1,0,0,3.121,-0.307,-0.216
0,3,female,18.0,1,0,17.8,S,woman,Unknown,False,2,1,0,Adult,8.9,High,0,1,0,0,1,2.934,-0.833,-0.31
0,3,male,7.0,4,1,39.6875,S,child,Unknown,False,6,1,1,Child,6.614583333333333,Premium,0,0,0,0,1,3.706,-1.658,0.221
0,3,male,21.0,0,0,7.8,S,man,Unknown,True,1,0,0,Adult,7.8,Low,0,0,0,0,1,2.175,-0.607,-0.553
1,1,female,49.0,1,0,76.7292,C,woman,D,False,2,1,0,Adult,38.3646,Premium,1,1,1,0,0,4.353,1.494,1.121
1,2,female,29.0,1,0,26.0,S,woman,Unknown,False,2,1,0,Adult,13.0,High,0,1,0,0,1,3.296,-0.007,-0.111
0,1,male,65.0,0,1,61.9792,C,man,B,False,2,1,0,Senior,30.9896,Premium,1,0,1,0,0,4.143,2.695,0.763
1,1,male,40.0,0,0,35.5,S,man,C,True,1,0,0,Adult,35.5,Premium,1,0,0,0,1,3.597,0.819,0.119
1,2,female,21.0,0,0,10.5,S,woman,Unknown,True,1,0,0,Adult,10.5,Mid,0,1,0,0,1,2.442,-0.607,-0.488
0,3,male,28.5,0,0,7.2292,C,man,Unknown,True,1,0,0,Adult,7.2292,Low,0,0,1,0,0,2.108,-0.044,-0.567
1,2,female,5.0,1,2,27.75,S,child,Unknown,False,4,1,1,Child,6.9375,High,0,1,0,0,1,3.359,-1.808,-0.069
0,3,male,11.0,5,2,46.9,S,child,Unknown,False,8,1,1,Child,5.8625,Premium,0,0,0,0,1,3.869,-1.358,0.396
0,3,male,22.0,0,0,7.2292,C,man,Unknown,True,1,0,0,Adult,7.2292,Low,0,0,1,0,0,2.108,-0.532,-0.567
1,1,female,38.0,0,0,80.0,S,woman,B,True,1,0,0,Adult,80.0,Premium,1,1,0,0,1,4.394,0.669,1.2
0,1,male,45.0,1,0,83.475,S,man,C,False,2,1,0,Adult,41.7375,Premium,1,0,0,0,1,4.436,1.194,1.285
0,3,male,4.0,3,2,27.9,S,child,Unknown,False,6,1,1,Child,4.6499999999999995,High,0,0,0,0,1,3.364,-1.883,-0.065
0,1,male,40.0,0,0,27.7208,C,man,Unknown,True,1,0,0,Adult,27.7208,High,0,0,1,0,0,3.358,0.819,-0.069
1,3,male,25.0,1,1,15.2458,C,man,Unknown,False,3,1,0,Adult,5.081933333333333,High,0,0,1,0,0,2.788,-0.307,-0.372
1,2,female,29.0,0,0,10.5,S,woman,F,True,1,0,0,Adult,10.5,Mid,1,1,0,0,1,2.442,-0.007,-0.488
0,3,male,19.0,0,0,8.1583,S,man,Unknown,True,1,0,0,Adult,8.1583,Mid,0,0,0,0,1,2.215,-0.758,-0.545
1,3,female,17.0,4,2,7.925,S,woman,Unknown,False,7,1,1,Teen,1.1321428571428571,Mid,0,1,0,0,1,2.189,-0.908,-0.55
0,3,male,26.0,2,0,8.6625,S,man,Unknown,False,3,1,0,Adult,2.8874999999999997,Mid,0,0,0,0,1,2.268,-0.232,-0.532
0,2,male,32.0,0,0,10.5,S,man,Unknown,True,1,0,0,Adult,10.5,Mid,0,0,0,0,1,2.442,0.218,-0.488
0,3,female,16.0,5,2,46.9,S,woman,Unknown,False,8,1,1,Teen,5.8625,Premium,0,1,0,0,1,3.869,-0.983,0.396
0,2,male,21.0,0,0,73.5,S,man,Unknown,True,1,0,0,Adult,73.5,Premium,0,0,0,0,1,4.311,-0.607,1.042
0,3,male,26.0,1,0,14.4542,C,man,Unknown,False,2,1,0,Adult,7.2271,Mid,0,0,1,0,0,2.738,-0.232,-0.392
1,3,male,32.0,0,0,56.4958,S,man,Unknown,True,1,0,0,Adult,56.4958,Premium,0,0,0,0,1,4.052,0.218,0.629
0,3,male,25.0,0,0,7.65,S,man,F,True,1,0,0,Adult,7.65,Low,1,0,0,0,1,2.158,-0.307,-0.557
0,3,male,25.0,0,0,7.8958,S,man,Unknown,True,1,0,0,Adult,7.8958,Low,0,0,0,0,1,2.186,-0.307,-0.551
0,3,male,25.0,0,0,8.05,S,man,Unknown,True,1,0,0,Adult,8.05,Mid,0,0,0,0,1,2.203,-0.307,-0.547
1,2,male,0.83,0,2,29.0,S,child,Unknown,False,3,1,1,Child,9.666666666666666,High,0,0,0,0,1,3.401,-2.121,-0.038
1,3,female,30.0,0,0,12.475,S,woman,Unknown,True,1,0,0,Adult,12.475,Mid,0,1,0,0,1,2.601,0.068,-0.44
0,3,male,22.0,0,0,9.0,S,man,Unknown,True,1,0,0,Adult,9.0,Mid,0,0,0,0,1,2.303,-0.532,-0.524
1,3,male,29.0,0,0,9.5,S,man,Unknown,True,1,0,0,Adult,9.5,Mid,0,0,0,0,1,2.351,-0.007,-0.512
1,3,female,21.5,0,0,7.7875,Q,woman,Unknown,True,1,0,0,Adult,7.7875,Low,0,1,0,1,0,2.173,-0.57,-0.554
0,1,male,28.0,0,0,47.1,S,man,Unknown,True,1,0,0,Adult,47.1,Premium,0,0,0,0,1,3.873,-0.082,0.401
1,2,female,17.0,0,0,10.5,S,woman,Unknown,True,1,0,1,Teen,10.5,Mid,0,1,0,0,1,2.442,-0.908,-0.488
1,3,female,33.0,3,0,15.85,S,woman,Unknown,False,4,1,0,Adult,3.9625,High,0,1,0,0,1,2.824,0.293,-0.358
0,3,male,16.0,1,3,34.375,S,man,Unknown,False,5,1,1,Teen,6.875,Premium,0,0,0,0,1,3.566,-0.983,0.092
0,3,male,25.0,0,0,8.05,S,man,Unknown,True,1,0,0,Adult,8.05,Mid,0,0,0,0,1,2.203,-0.307,-0.547
1,1,female,23.0,3,2,263.0,S,woman,C,False,6,1,0,Adult,43.833333333333336,Premium,1,1,0,0,1,5.576,-0.457,5.644
0,3,male,24.0,0,0,8.05,S,man,Unknown,True,1,0,0,Adult,8.05,Mid,0,0,0,0,1,2.203,-0.382,-0.547
0,3,male,29.0,0,0,8.05,S,man,Unknown,True,1,0,0,Adult,8.05,Mid,0,0,0,0,1,2.203,-0.007,-0.547
0,3,male,20.0,0,0,7.8542,S,man,Unknown,True,1,0,0,Adult,7.8542,Low,0,0,0,0,1,2.181,-0.682,-0.552
0,1,male,46.0,1,0,61.175,S,man,E,False,2,1,0,Adult,30.5875,Premium,1,0,0,0,1,4.13,1.269,0.743
0,3,male,26.0,1,2,20.575,S,man,Unknown,False,4,1,0,Adult,5.14375,High,0,0,0,0,1,3.072,-0.232,-0.243
0,3,male,59.0,0,0,7.25,S,man,Unknown,True,1,0,0,Adult,7.25,Low,0,0,0,0,1,2.11,2.245,-0.567
0,3,male,25.0,0,0,8.05,S,man,Unknown,True,1,0,0,Adult,8.05,Mid,0,0,0,0,1,2.203,-0.307,-0.547
0,1,male,71.0,0,0,34.6542,C,man,A,True,1,0,0,Senior,34.6542,Premium,1,0,1,0,0,3.574,3.146,0.099
1,1,male,23.0,0,1,63.3583,C,man,D,False,2,1,0,Adult,31.67915,Premium,1,0,1,0,0,4.164,-0.457,0.796
1,2,female,34.0,0,1,23.0,S,woman,Unknown,False,2,1,0,Adult,11.5,High,0,1,0,0,1,3.178,0.368,-0.184
0,2,male,34.0,1,0,26.0,S,man,Unknown,False,2,1,0,Adult,13.0,High,0,0,0,0,1,3.296,0.368,-0.111
0,3,female,28.0,0,0,7.8958,S,woman,Unknown,True,1,0,0,Adult,7.8958,Low,0,1,0,0,1,2.186,-0.082,-0.551
0,3,male,25.0,0,0,7.8958,S,man,Unknown,True,1,0,0,Adult,7.8958,Low,0,0,0,0,1,2.186,-0.307,-0.551
0,1,male,21.0,0,1,77.2875,S,man,D,False,2,1,0,Adult,38.64375,Premium,1,0,0,0,1,4.36,-0.607,1.134
0,3,male,33.0,0,0,8.6542,S,man,Unknown,True,1,0,0,Adult,8.6542,Mid,0,0,0,0,1,2.267,0.293,-0.533
0,3,male,37.0,2,0,7.925,S,man,Unknown,False,3,1,0,Adult,2.6416666666666666,Mid,0,0,0,0,1,2.189,0.594,-0.55
0,3,male,28.0,0,0,7.8958,S,man,Unknown,True,1,0,0,Adult,7.8958,Low,0,0,0,0,1,2.186,-0.082,-0.551
1,3,female,21.0,0,0,7.65,S,woman,Unknown,True,1,0,0,Adult,7.65,Low,0,1,0,0,1,2.158,-0.607,-0.557
1,3,male,25.0,0,0,7.775,S,man,Unknown,True,1,0,0,Adult,7.775,Low,0,0,0,0,1,2.172,-0.307,-0.554
0,3,male,38.0,0,0,7.8958,S,man,Unknown,True,1,0,0,Adult,7.8958,Low,0,0,0,0,1,2.186,0.669,-0.551
1,3,female,21.5,1,0,24.15,Q,woman,Unknown,False,2,1,0,Adult,12.075,High,0,1,0,1,0,3.225,-0.57,-0.156
0,1,male,47.0,0,0,52.0,S,man,C,True,1,0,0,Adult,52.0,Premium,1,0,0,0,1,3.97,1.344,0.52
0,3,female,14.5,1,0,14.4542,C,child,Unknown,False,2,1,1,Teen,7.2271,Mid,0,1,1,0,0,2.738,-1.095,-0.392
0,3,male,22.0,0,0,8.05,S,man,Unknown,True,1,0,0,Adult,8.05,Mid,0,0,0,0,1,2.203,-0.532,-0.547
0,3,female,20.0,1,0,9.825,S,woman,Unknown,False,2,1,0,Adult,4.9125,Mid,0,1,0,0,1,2.382,-0.682,-0.504
0,3,female,17.0,0,0,14.4583,C,woman,Unknown,True,1,0,1,Teen,14.4583,High,0,1,1,0,0,2.738,-0.908,-0.392
0,3,male,21.0,0,0,7.925,S,man,Unknown,True,1,0,0,Adult,7.925,Mid,0,0,0,0,1,2.189,-0.607,-0.55
0,3,male,70.5,0,0,7.75,Q,man,Unknown,True,1,0,0,Senior,7.75,Low,0,0,0,1,0,2.169,3.108,-0.554
0,2,male,29.0,1,0,21.0,S,man,Unknown,False,2,1,0,Adult,10.5,High,0,0,0,0,1,3.091,-0.007,-0.233
0,1,male,24.0,0,1,247.5208,C,man,B,False,2,1,0,Adult,123.7604,Premium,1,0,1,0,0,5.516,-0.382,5.269
0,3,female,2.0,4,2,31.275,S,child,Unknown,False,7,1,1,Child,4.4678571428571425,Premium,0,1,0,0,1,3.474,-2.034,0.017
0,2,male,21.0,2,0,73.5,S,man,Unknown,False,3,1,0,Adult,24.5,Premium,0,0,0,0,1,4.311,-0.607,1.042
0,3,male,25.0,0,0,8.05,S,man,Unknown,True,1,0,0,Adult,8.05,Mid,0,0,0,0,1,2.203,-0.307,-0.547
0,2,male,32.5,1,0,30.0708,C,man,Unknown,False,2,1,0,Adult,15.0354,High,0,0,1,0,0,3.436,0.256,-0.012
1,2,female,32.5,0,0,13.0,S,woman,E,True,1,0,0,Adult,13.0,Mid,1,1,0,0,1,2.639,0.256,-0.427
0,1,male,54.0,0,1,77.2875,S,man,D,False,2,1,0,Adult,38.64375,Premium,1,0,0,0,1,4.36,1.87,1.134
1,3,male,12.0,1,0,11.2417,C,child,Unknown,False,2,1,1,Child,5.62085,Mid,0,0,1,0,0,2.505,-1.283,-0.47
0,3,male,25.0,0,0,7.75,Q,man,Unknown,True,1,0,0,Adult,7.75,Low,0,0,0,1,0,2.169,-0.307,-0.554
1,3,male,24.0,0,0,7.1417,S,man,Unknown,True,1,0,0,Adult,7.1417,Low,0,0,0,0,1,2.097,-0.382,-0.569
1,3,female,21.5,1,1,22.3583,C,woman,F,False,3,1,0,Adult,7.452766666666666,High,1,1,1,0,0,3.151,-0.57,-0.2
0,3,male,45.0,0,0,6.975,S,man,Unknown,True,1,0,0,Adult,6.975,Low,0,0,0,0,1,2.076,1.194,-0.573
0,3,male,33.0,0,0,7.8958,C,man,Unknown,True,1,0,0,Adult,7.8958,Low,0,0,1,0,0,2.186,0.293,-0.551
0,3,male,20.0,0,0,7.05,S,man,Unknown,True,1,0,0,Adult,7.05,Low,0,0,0,0,1,2.086,-0.682,-0.571
0,3,female,47.0,1,0,14.5,S,woman,Unknown,False,2,1,0,Adult,7.25,High,0,1,0,0,1,2.741,1.344,-0.391
1,2,female,29.0,1,0,26.0,S,woman,Unknown,False,2,1,0,Adult,13.0,High,0,1,0,0,1,3.296,-0.007,-0.111
0,2,male,25.0,0,0,13.0,S,man,Unknown,True,1,0,0,Adult,13.0,Mid,0,0,0,0,1,2.639,-0.307,-0.427
0,2,male,23.0,0,0,15.0458,C,man,Unknown,True,1,0,0,Adult,15.0458,High,0,0,1,0,0,2.775,-0.457,-0.377
1,1,female,19.0,0,2,26.2833,S,woman,D,False,3,1,0,Adult,8.7611,High,1,1,0,0,1,3.306,-0.758,-0.104
0,1,male,37.0,1,0,53.1,S,man,C,False,2,1,0,Adult,26.55,Premium,1,0,0,0,1,3.991,0.594,0.547
0,3,male,16.0,0,0,9.2167,S,man,Unknown,True,1,0,1,Teen,9.2167,Mid,0,0,0,0,1,2.324,-0.983,-0.519
0,1,male,24.0,0,0,79.2,C,man,B,True,1,0,0,Adult,79.2,Premium,1,0,1,0,0,4.385,-0.382,1.181
0,3,female,21.5,0,2,15.2458,C,woman,Unknown,False,3,1,0,Adult,5.081933333333333,High,0,1,1,0,0,2.788,-0.57,-0.372
1,3,female,22.0,0,0,7.75,S,woman,Unknown,True,1,0,0,Adult,7.75,Low,0,1,0,0,1,2.169,-0.532,-0.554
1,3,female,24.0,1,0,15.85,S,woman,Unknown,False,2,1,0,Adult,7.925,High,0,1,0,0,1,2.824,-0.382,-0.358
0,3,male,19.0,0,0,6.75,Q,man,Unknown,True,1,0,0,Adult,6.75,Low,0,0,0,1,0,2.048,-0.758,-0.579
0,2,male,18.0,0,0,11.5,S,man,Unknown,True,1,0,0,Adult,11.5,Mid,0,0,0,0,1,2.526,-0.833,-0.463
0,2,male,19.0,1,1,36.75,S,man,Unknown,False,3,1,0,Adult,12.25,Premium,0,0,0,0,1,3.631,-0.758,0.15
1,3,male,27.0,0,0,7.7958,S,man,Unknown,True,1,0,0,Adult,7.7958,Low,0,0,0,0,1,2.174,-0.157,-0.553
0,3,female,9.0,2,2,34.375,S,child,Unknown,False,5,1,1,Child,6.875,Premium,0,1,0,0,1,3.566,-1.508,0.092
0,2,male,36.5,0,2,26.0,S,man,F,False,3,1,0,Adult,8.666666666666666,High,1,0,0,0,1,3.296,0.556,-0.111
0,2,male,42.0,0,0,13.0,S,man,Unknown,True,1,0,0,Adult,13.0,Mid,0,0,0,0,1,2.639,0.969,-0.427
0,2,male,51.0,0,0,12.525,S,man,Unknown,True,1,0,0,Adult,12.525,Mid,0,0,0,0,1,2.605,1.645,-0.439
1,1,female,22.0,1,0,66.6,S,woman,C,False,2,1,0,Adult,33.3,Premium,1,1,0,0,1,4.214,-0.532,0.875
0,3,male,55.5,0,0,8.05,S,man,Unknown,True,1,0,0,Adult,8.05,Mid,0,0,0,0,1,2.203,1.982,-0.547
0,3,male,40.5,0,2,14.5,S,man,Unknown,False,3,1,0,Adult,4.833333333333333,High,0,0,0,0,1,2.741,0.856,-0.391
0,3,male,25.0,0,0,7.3125,S,man,Unknown,True,1,0,0,Adult,7.3125,Low,0,0,0,0,1,2.118,-0.307,-0.565
0,1,male,51.0,0,1,61.3792,C,man,Unknown,False,2,1,0,Adult,30.6896,Premium,0,0,1,0,0,4.133,1.645,0.748
1,3,female,16.0,0,0,7.7333,Q,woman,Unknown,True,1,0,1,Teen,7.7333,Low,0,1,0,1,0,2.167,-0.983,-0.555
0,3,male,30.0,0,0,8.05,S,man,Unknown,True,1,0,0,Adult,8.05,Mid,0,0,0,0,1,2.203,0.068,-0.547
0,3,male,25.0,0,0,8.6625,S,man,Unknown,True,1,0,0,Adult,8.6625,Mid,0,0,0,0,1,2.268,-0.307,-0.532
0,3,male,25.0,8,2,69.55,S,man,Unknown,False,11,1,0,Adult,6.322727272727272,Premium,0,0,0,0,1,4.256,-0.307,0.946
0,3,male,44.0,0,1,16.1,S,man,Unknown,False,2,1,0,Adult,8.05,High,0,0,0,0,1,2.839,1.119,-0.352
1,2,female,40.0,0,0,15.75,S,woman,Unknown,True,1,0,0,Adult,15.75,High,0,1,0,0,1,2.818,0.819,-0.36
0,3,male,26.0,0,0,7.775,S,man,Unknown,True,1,0,0,Adult,7.775,Low,0,0,0,0,1,2.172,-0.232,-0.554
0,3,male,17.0,0,0,8.6625,S,man,Unknown,True,1,0,1,Teen,8.6625,Mid,0,0,0,0,1,2.268,-0.908,-0.532
0,3,male,1.0,4,1,39.6875,S,child,Unknown,False,6,1,1,Child,6.614583333333333,Premium,0,0,0,0,1,3.706,-2.109,0.221
1,3,male,9.0,0,2,20.525,S,child,Unknown,False,3,1,1,Child,6.841666666666666,High,0,0,0,0,1,3.069,-1.508,-0.244
1,1,female,35.0,0,1,55.0,S,woman,E,False,2,1,0,Adult,27.5,Premium,1,1,0,0,1,4.025,0.444,0.593
0,3,female,45.0,1,4,27.9,S,woman,Unknown,False,6,1,0,Adult,4.6499999999999995,High,0,1,0,0,1,3.364,1.194,-0.065
0,1,male,40.0,0,0,25.925,S,man,Unknown,True,1,0,0,Adult,25.925,High,0,0,0,0,1,3.293,0.819,-0.113
0,3,male,28.0,0,0,56.4958,S,man,Unknown,True,1,0,0,Adult,56.4958,Premium,0,0,0,0,1,4.052,-0.082,0.629
0,1,male,61.0,0,0,33.5,S,man,B,True,1,0,0,Senior,33.5,Premium,1,0,0,0,1,3.541,2.395,0.071
0,3,male,4.0,4,1,29.125,Q,child,Unknown,False,6,1,1,Child,4.854166666666667,High,0,0,0,1,0,3.405,-1.883,-0.035
1,3,female,1.0,1,1,11.1333,S,child,Unknown,False,3,1,1,Child,3.7111,Mid,0,1,0,0,1,2.496,-2.109,-0.472
0,3,male,21.0,0,0,7.925,S,man,Unknown,True,1,0,0,Adult,7.925,Mid,0,0,0,0,1,2.189,-0.607,-0.55
0,1,male,56.0,0,0,30.6958,C,man,A,True,1,0,0,Adult,30.6958,High,1,0,1,0,0,3.456,2.02,0.003
0,3,male,18.0,1,1,7.8542,S,man,Unknown,False,3,1,0,Adult,2.6180666666666665,Low,0,0,0,0,1,2.181,-0.833,-0.552
0,3,male,25.0,3,1,25.4667,S,man,Unknown,False,5,1,0,Adult,5.0933399999999995,High,0,0,0,0,1,3.276,-0.307,-0.124
0,1,female,50.0,0,0,28.7125,C,woman,C,True,1,0,0,Adult,28.7125,High,1,1,1,0,0,3.392,1.569,-0.045
0,2,male,30.0,0,0,13.0,S,man,Unknown,True,1,0,0,Adult,13.0,Mid,0,0,0,0,1,2.639,0.068,-0.427
0,3,male,36.0,0,0,0.0,S,man,Unknown,True,1,0,0,Adult,0.0,Low,0,0,0,0,1,0.0,0.519,-0.743
0,3,female,21.5,8,2,69.55,S,woman,Unknown,False,11,1,0,Adult,6.322727272727272,Premium,0,1,0,0,1,4.256,-0.57,0.946
0,2,male,30.0,0,0,15.05,C,man,Unknown,True,1,0,0,Adult,15.05,High,0,0,1,0,0,2.776,0.068,-0.377
0,3,male,9.0,4,2,31.3875,S,child,Unknown,False,7,1,1,Child,4.483928571428572,Premium,0,0,0,0,1,3.478,-1.508,0.02
1,2,male,1.0,2,1,39.0,S,child,F,False,4,1,1,Child,9.75,Premium,1,0,0,0,1,3.689,-2.109,0.204
1,3,female,4.0,0,2,22.025,S,child,Unknown,False,3,1,1,Child,7.341666666666666,High,0,1,0,0,1,3.137,-1.883,-0.208
0,1,male,40.0,0,0,50.0,S,man,A,True,1,0,0,Adult,50.0,Premium,1,0,0,0,1,3.932,0.819,0.472
1,3,female,21.5,1,0,15.5,Q,woman,Unknown,False,2,1,0,Adult,7.75,High,0,1,0,1,0,2.803,-0.57,-0.366
1,1,male,45.0,0,0,26.55,S,man,Unknown,True,1,0,0,Adult,26.55,High,0,0,0,0,1,3.316,1.194,-0.098
0,3,male,40.0,1,1,15.5,Q,man,Unknown,False,3,1,0,Adult,5.166666666666667,High,0,0,0,1,0,2.803,0.819,-0.366
0,3,male,36.0,0,0,7.8958,S,man,Unknown,True,1,0,0,Adult,7.8958,Low,0,0,0,0,1,2.186,0.519,-0.551
1,2,female,32.0,0,0,13.0,S,woman,Unknown,True,1,0,0,Adult,13.0,Mid,0,1,0,0,1,2.639,0.218,-0.427
0,2,male,19.0,0,0,13.0,S,man,Unknown,True,1,0,0,Adult,13.0,Mid,0,0,0,0,1,2.639,-0.758,-0.427
1,3,female,19.0,1,0,7.8542,S,woman,Unknown,False,2,1,0,Adult,3.9271,Low,0,1,0,0,1,2.181,-0.758,-0.552
1,2,male,3.0,1,1,26.0,S,child,F,False,3,1,1,Child,8.666666666666666,High,1,0,0,0,1,3.296,-1.959,-0.111
1,1,female,44.0,0,0,27.7208,C,woman,B,True,1,0,0,Adult,27.7208,High,1,1,1,0,0,3.358,1.119,-0.069
